url	imgUrl	order	shortHed
http://www.nytimes.com/interactive/2011/06/15/sports/baseball/jeter-3000-hits.html	jeter-2	44	Derek Jeter: 3,000 hits
http://oscars.nytimes.com/favorites	facebook-oscars-3	45	2011 Oscar Favorites
http://www.nytimes.com/interactive/2011/12/13/us/politics/a-survey-of-democratic-presidential-campaign-strategies.html	carto	46	The Path to 270
http://www.nytimes.com/interactive/2011/03/29/us/liberty-graphic.html	indonesian-paper	47	Indonesian Paper's Connections
http://www.nytimes.com/interactive/2010/07/25/us/scotus-quiz.html	how-your-views-compare	48	Your Views and the Court
http://www.nytimes.com/interactive/2009/11/06/business/economy/unemployment-lines.html	unemployment-like-you	49	Jobless Rates for Americans
http://www.nytimes.com/interactive/2009/09/29/world/middleeast/iran-nuclear-facility.html	iran	50	Iran's Hidden Nuclear Facility
http://www.nytimes.com/interactive/2010/02/15/sports/olympics/mens-downhill-result.html	winning-line	51	Cutting the Winning Line
http://www.nytimes.com/interactive/2011/02/05/sports/football/madden-superbowl-graphic.html	madden	52	Madden and the Real NFL
http://www.nytimes.com/interactive/2011/01/15/sports/football/jets-special-teams.html	jets-2	53	Jets' Special Teams
http://www.nytimes.com/interactive/2009/12/05/world/climate-graphic-background.html	copenhagen	54	Understanding Copenhagen
http://www.nytimes.com/interactive/2008/05/26/sports/playmagazine/200805227_IVANOVIC_GRAPHIC.html	power-in-motion	55	Power in Motion
http://www.nytimes.com/interactive/2013/01/02/us/chicago-killings.html	chicago-homicides	10	Chicago Homicides
http://www.nytimes.com/interactive/2009/09/29/world/middleeast/iran-nuclear-facility.html	iran	50	Iran's
http://www.nytimes.com/interactive/2010/02/15/sports/olympics/mens-downhill-result.html	winning-line	51	Cutting
http://www.nytimes.com/interactive/2011/02/05/sports/football/madden-superbowl-graphic.html	madden	52	Madden
http://www.nytimes.com/interactive/2011/01/15/sports/football/jets-special-teams.html	jets-2	53	Jets'
http://www.nytimes.com/interactive/2009/12/05/world/climate-graphic-background.html	copenhagen	54	Understanding
http://www.nytimes.com/interactive/2008/05/26/sports/playmagazine/200805227_IVANOVIC_GRAPHIC.html	power-in-motion	55	Power
http://www.nytimes.com/interactive/2013/01/02/us/chicago-killings.html	chicago-homicides	10	Chicago
